scanner_name,scanner_variant,scanner_params,events,h,tp,sl,label_mode,same_bar_policy,folds_used,profitable_folds,profitable_fold_ratio,total_test_trades,min_fold_test_trades,median_threshold,threshold_std,test_ap_mean,test_ap_std,total_test_net_profit_r,avg_r_per_trade,mean_test_win_rate,mean_test_recall,mean_valid_profit_r,fold_thresholds,fold_test_trades,fold_test_profit_r
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4976,30,2.0,0.5,first_touch,drop,3,3,1.0,1212,373,0.4981,0.008724422935389792,0.22650144746797718,0.00586640192886015,64.0,0.052805280528052806,0.2209074325361189,0.8959835932423652,32.166666666666664,"[0.4981, 0.4799, 0.4987]","[407, 432, 373]","[39.0, 16.5, 8.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4976,15,2.0,0.5,first_touch,drop,3,3,1.0,1124,323,0.4938,0.005177515491687748,0.2370757439383463,0.01220992370302972,30.5,0.027135231316725978,0.21033985505094377,0.8389641358953667,30.666666666666668,"[0.4847, 0.4938, 0.4969]","[384, 417, 323]","[18.0, 11.5, 1.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4945,30,1.5,0.5,first_touch,drop,3,3,1.0,913,230,0.4993,0.0015434449203720311,0.271358738803539,0.008262643741399515,29.5,0.03231106243154436,0.268845188713064,0.6406907469899595,26.333333333333332,"[0.4965, 0.5001, 0.4993]","[400, 230, 283]","[8.0, 21.0, 0.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4945,15,1.5,0.5,first_touch,drop,3,3,1.0,732,89,0.5,0.0018803073034893679,0.27365666210410633,0.008684443073483556,28.0,0.03825136612021858,0.2746126615680991,0.5238730158730159,22.0,"[0.4979, 0.5025, 0.5]","[383, 89, 260]","[12.5, 7.5, 8.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4976,30,1.5,1.0,first_touch,drop,3,2,0.6666666666666666,378,104,0.5004,0.0013767917618708965,0.4311706079935775,0.01930962101438806,34.5,0.09126984126984126,0.4336925894618202,0.2636681147964633,22.5,"[0.5004, 0.5, 0.5031]","[169, 104, 105]","[21.0, -1.5, 15.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4984,30,2.0,1.0,first_touch,drop,3,2,0.6666666666666666,1041,199,0.4993,0.00037416573867739744,0.3484277056973631,0.03099819335507202,18.0,0.01729106628242075,0.34799342754161094,0.7076901842795588,38.333333333333336,"[0.4993, 0.499, 0.4999]","[199, 452, 390]","[32.0, -20.0, 6.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4945,10,1.5,0.5,first_touch,drop,3,2,0.6666666666666666,842,158,0.4994,0.005914013489632557,0.2688872168052876,0.006930929147228175,5.0,0.0059382422802850355,0.2551240766613469,0.5855578614311933,25.833333333333332,"[0.4881, 0.5016, 0.4994]","[363, 158, 321]","[2.5, 5.0, -2.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4988,30,1.5,1.5,first_touch,drop,3,1,0.3333333333333333,340,83,0.5006,0.0028296053906272053,0.4909253920007561,0.03092850206951579,21.0,0.061764705882352944,0.5168739905703025,0.24345185053428361,17.0,"[0.5004, 0.5065, 0.5006]","[83, 126, 131]","[-1.5, -6.0, 28.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4976,15,1.5,1.0,first_touch,drop,3,1,0.3333333333333333,689,127,0.5009,0.0050305731946435695,0.4231400299962205,0.01572261373010739,3.5,0.0050798258345428155,0.4014186533713415,0.4663687880011751,19.166666666666668,"[0.5009, 0.4933, 0.5055]","[205, 357, 127]","[17.5, -7.0, -7.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4976,10,2.0,0.5,first_touch,drop,3,1,0.3333333333333333,438,124,0.5002,0.0010873004286866574,0.18483144235381577,0.009568333982423145,-6.5,-0.014840182648401826,0.19265323760862538,0.32395334677080706,10.0,"[0.5002, 0.5, 0.5024]","[188, 124, 126]","[1.0, -7.0, -0.5]"
