scanner_name,scanner_variant,scanner_params,events,h,tp,sl,label_mode,same_bar_policy,folds_used,profitable_folds,profitable_fold_ratio,total_test_trades,min_fold_test_trades,median_threshold,threshold_std,test_ap_mean,test_ap_std,total_test_net_profit_r,avg_r_per_trade,mean_test_win_rate,mean_test_recall,mean_valid_profit_r,fold_thresholds,fold_test_trades,fold_test_profit_r
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",41072,5,2.5,0.5,first_touch,drop,3,3,1.0,4989,664,0.4998,0.000612825877028326,0.1970496342048209,0.022076296747118387,505.5,0.10132291040288635,0.21418002140764045,0.48474125248404376,151.66666666666666,"[0.4998, 0.5011, 0.4998]","[2002, 664, 2323]","[82.0, 190.0, 233.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40817,5,2.0,0.5,first_touch,drop,3,3,1.0,8430,2316,0.4956,0.0033638602164114233,0.24756636258464768,0.03726366888386478,490.0,0.05812574139976275,0.22382637284292248,0.73278610096633,204.5,"[0.4908, 0.499, 0.4956]","[2535, 2316, 3579]","[72.5, 219.5, 198.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40314,5,1.5,0.5,first_touch,drop,3,3,1.0,9534,2203,0.4979,0.002653718564999355,0.3069598851505846,0.026482959347246236,467.0,0.048982588630165726,0.2767949745161206,0.8162505414257614,273.0,"[0.4979, 0.4946, 0.5011]","[3622, 3709, 2203]","[75.0, 205.5, 186.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40329,3,1.5,0.5,first_touch,drop,3,3,1.0,6234,1857,0.4998,0.005887840577551903,0.29607086399780363,0.023176761473824286,207.0,0.03320500481231954,0.2681833630901446,0.562593201180928,142.66666666666666,"[0.4958, 0.4998, 0.5098]","[2444, 1933, 1857]","[4.0, 87.5, 115.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40367,2,1.5,0.5,first_touch,drop,3,2,0.6666666666666666,1137,218,0.5022,0.0023228335186912504,0.2648968006831214,0.039219704399104126,97.5,0.08575197889182058,0.32373196844207236,0.1315706239205252,82.16666666666667,"[0.5068, 0.5022, 0.5016]","[346, 218, 573]","[-3.0, 97.0, 3.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",41077,3,2.5,0.5,first_touch,drop,3,2,0.6666666666666666,881,98,0.5199,0.01268411079526929,0.16034305114944705,0.0027916977643611535,36.5,0.041430192962542564,0.15764264113516605,0.09659825798817179,41.0,"[0.5062, 0.5199, 0.5372]","[224, 98, 559]","[5.0, -19.0, 50.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",41088,2,1.5,1.0,first_touch,drop,3,2,0.6666666666666666,849,120,0.5187,0.015141627682943746,0.3201153902219693,0.011008151051605774,-9.0,-0.01060070671378092,0.4261657214870825,0.10549026462454521,-0.16666666666666666,"[0.5187, 0.5422, 0.5056]","[120, 529, 200]","[15.0, -61.5, 37.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40837,3,2.0,0.5,first_touch,drop,3,2,0.6666666666666666,3045,248,0.5011,0.014521019247972944,0.20452979609306352,0.016573746652425086,-52.5,-0.017241379310344827,0.22632202994248293,0.26204882982428357,113.66666666666667,"[0.5308, 0.5011, 0.499]","[259, 248, 2538]","[33.0, 28.5, -114.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",41068,3,1.5,1.0,first_touch,drop,3,2,0.6666666666666666,1171,134,0.5054,0.003127299154222399,0.3580478870448846,0.0037387614731668787,-61.0,-0.05209222886421862,0.4502295722317564,0.11478328407949383,34.0,"[0.5054, 0.5003, 0.5078]","[134, 750, 287]","[53.5, -175.0, 60.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40860,2,2.0,0.5,first_touch,drop,3,1,0.3333333333333333,1268,159,0.502,0.03372961112534013,0.18031745643312289,0.01013850608477229,-24.0,-0.01892744479495268,0.19240709692782787,0.13581775151364317,45.166666666666664,"[0.5733, 0.5015, 0.502]","[159, 657, 452]","[-4.5, -21.0, 1.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",41053,5,1.5,1.0,first_touch,drop,3,1,0.3333333333333333,1030,217,0.5027,0.0008178562764256869,0.3917699566304788,0.0100394537237307,-30.0,-0.02912621359223301,0.3956808703585792,0.08884309167914457,85.5,"[0.5016, 0.5027, 0.5036]","[217, 249, 564]","[10.5, -4.0, -36.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",41347,5,2.5,1.0,first_touch,drop,3,1,0.3333333333333333,898,60,0.5155,0.0117985874860793,0.2653218988734249,0.009269143785477637,-44.0,-0.04899777282850779,0.2898377517021585,0.08095961726999078,9.833333333333334,"[0.5155, 0.5301, 0.5012]","[60, 130, 708]","[10.0, -7.5, -46.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",41082,2,2.5,0.5,first_touch,drop,3,1,0.3333333333333333,1042,219,0.5036,0.010300916895543265,0.13438501809722073,0.010329119409892765,-59.0,-0.05662188099808062,0.1522696332851187,0.12679463689200435,21.333333333333332,"[0.5036, 0.5033, 0.5253]","[219, 368, 455]","[7.5, -34.0, -32.5]"
