scanner_name,scanner_variant,scanner_params,events,h,tp,sl,label_mode,same_bar_policy,folds_used,profitable_folds,profitable_fold_ratio,total_test_trades,min_fold_test_trades,median_threshold,threshold_std,test_ap_mean,test_ap_std,total_test_net_profit_r,avg_r_per_trade,mean_test_win_rate,mean_test_recall,mean_valid_profit_r,fold_thresholds,fold_test_trades,fold_test_profit_r
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=0.8","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 0.8}",4523,15,2.0,0.5,first_touch,drop,3,3,1.0,887,270,0.4962,0.0036887215490826494,0.3949461441143751,0.015389976057223729,229.0,0.25817361894024804,0.306042004262069,0.8606397716551419,91.16666666666667,"[0.4962, 0.4904, 0.4993]","[270, 309, 308]","[115.0, 70.5, 43.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=0.8","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 0.8}",4516,15,1.5,0.5,first_touch,drop,3,3,1.0,875,237,0.4934,0.0027652606869274887,0.4758206026583653,0.018976029774331965,216.5,0.24742857142857144,0.3786695981020176,0.828042328042328,91.16666666666667,"[0.4934, 0.4918, 0.4983]","[237, 292, 346]","[79.5, 76.0, 61.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",7246,10,3.0,0.5,first_touch,drop,3,3,1.0,1339,308,0.4988,0.0010614455552060403,0.186515364851655,0.016333001132301093,195.0,0.14563106796116504,0.1831736902035672,0.6862990810359232,63.333333333333336,"[0.5001, 0.4988, 0.4975]","[308, 462, 569]","[35.0, 70.0, 90.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",7217,10,2.5,0.5,first_touch,drop,3,3,1.0,1734,508,0.4937,0.006424086619036905,0.20894206937397153,0.011972007200927816,186.0,0.10726643598615918,0.2032717184598669,0.8183518088086298,56.666666666666664,"[0.4991, 0.4937, 0.4836]","[623, 603, 508]","[48.5, 61.5, 76.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=0.8","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 0.8}",4516,10,1.5,0.5,first_touch,drop,3,3,1.0,913,266,0.4982,0.0017931970208417017,0.4389634662953937,0.017391951486759965,185.5,0.2031763417305586,0.3547243252584466,0.8481134042109651,78.0,"[0.4984, 0.4945, 0.4982]","[266, 295, 352]","[73.0, 62.5, 50.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",7217,15,2.5,0.5,first_touch,drop,3,3,1.0,1553,278,0.4981,0.013041046311124316,0.22461996482698163,0.01181124266510452,183.5,0.11815840309079202,0.20934535868633194,0.7437597181541576,79.0,"[0.472, 0.4981, 0.501]","[664, 611, 278]","[64.0, 72.5, 47.0]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.0","{""lookback"": 60, ""min_break_atr"": 0.0}",10303,15,2.5,0.5,first_touch,drop,3,3,1.0,2447,648,0.477,0.025245329601070125,0.2094459512912775,0.006668627681080466,183.5,0.074989783408255,0.19201931410912984,0.794056490596662,80.33333333333333,"[0.4382, 0.4993, 0.477]","[1007, 648, 792]","[75.5, 60.0, 48.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=0.8","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 0.8}",4520,15,1.5,1.0,first_touch,drop,3,3,1.0,828,248,0.5002,0.004563867755411944,0.538041529620542,0.006404566227926168,179.5,0.21678743961352656,0.4883667767079214,0.7313660889079884,82.5,"[0.5011, 0.491, 0.5002]","[251, 329, 248]","[61.5, 58.5, 59.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",7246,15,3.0,0.5,first_touch,drop,3,3,1.0,1616,485,0.4987,0.00016996731711976616,0.1880348941103507,0.020226552716765753,168.5,0.10426980198019802,0.17357979064411336,0.7562306159798982,66.83333333333333,"[0.4987, 0.4986, 0.499]","[574, 557, 485]","[38.5, 47.0, 83.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=0.8","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 0.8}",4528,15,2.5,0.5,first_touch,drop,3,3,1.0,717,209,0.4998,0.0008831760866327629,0.2912667941431693,0.01057753059851946,166.5,0.23221757322175732,0.2441315211460747,0.7221050593964587,82.83333333333333,"[0.4998, 0.4983, 0.5004]","[209, 279, 229]","[60.5, 70.5, 35.5]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.0","{""lookback"": 60, ""min_break_atr"": 0.0}",10113,10,1.5,0.5,first_touch,drop,3,3,1.0,2760,879,0.491,0.036072735164140536,0.2911199756340586,0.01756364903758366,162.0,0.058695652173913045,0.27958651229462966,0.921409807167325,59.166666666666664,"[0.4192, 0.4997, 0.491]","[978, 903, 879]","[43.0, 60.5, 58.5]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.0","{""lookback"": 60, ""min_break_atr"": 0.0}",10333,15,3.0,0.5,first_touch,drop,3,3,1.0,1994,492,0.4975,0.001167142760000783,0.18190435846435996,0.007277543674109497,158.0,0.07923771313941826,0.16565679939871333,0.6754557140996896,67.0,"[0.4984, 0.4956, 0.4975]","[863, 492, 639]","[58.5, 34.0, 65.5]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.05","{""lookback"": 60, ""min_break_atr"": 0.05}",9445,15,2.0,0.5,first_touch,drop,3,3,1.0,2012,339,0.4984,0.00254602086052376,0.24370581787743503,0.020755198219436888,156.5,0.07778330019880715,0.23163694515167724,0.7194799359518985,70.16666666666667,"[0.4984, 0.4996, 0.4937]","[801, 339, 872]","[72.0, 28.0, 56.5]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.1","{""lookback"": 60, ""min_break_atr"": 0.1}",8915,15,2.5,0.5,first_touch,drop,3,3,1.0,2126,626,0.4984,0.0026512051766864326,0.20968521000701243,0.016458623882670467,155.0,0.0729068673565381,0.191548334303727,0.816285270734209,61.5,"[0.4931, 0.4984, 0.499]","[793, 707, 626]","[50.5, 36.5, 68.0]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.05","{""lookback"": 60, ""min_break_atr"": 0.05}",9323,10,1.5,0.5,first_touch,drop,3,3,1.0,2488,720,0.4959,0.0032259365565160403,0.28503176347879783,0.01826489590433245,150.0,0.06028938906752412,0.28069758971770653,0.90312885175296,51.166666666666664,"[0.4918, 0.4997, 0.4959]","[897, 871, 720]","[45.5, 48.5, 56.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",7066,15,1.5,0.5,first_touch,drop,3,3,1.0,1665,410,0.4996,0.0005715476066494133,0.3099487358047472,0.008126055913326153,149.5,0.08978978978978978,0.2944971586063538,0.8062811904556785,49.666666666666664,"[0.4985, 0.4996, 0.4998]","[654, 410, 601]","[43.0, 31.0, 75.5]"
wick_reversal,"wick_reversal|range_hi=0.7,range_lo=0.3,wick_frac=0.35","{""range_hi"": 0.7, ""range_lo"": 0.3, ""wick_frac"": 0.35}",3456,15,2.0,0.5,first_touch,drop,3,3,1.0,590,162,0.4996,0.0016996731711976145,0.3504956496907785,0.0279354043123747,147.5,0.25,0.31225602909954236,0.7981105543594306,53.0,"[0.4966, 0.4996, 0.5006]","[265, 162, 163]","[27.5, 51.5, 68.5]"
wick_reversal,"wick_reversal|range_hi=0.7,range_lo=0.3,wick_frac=0.35","{""range_hi"": 0.7, ""range_lo"": 0.3, ""wick_frac"": 0.35}",3446,15,1.5,0.5,first_touch,drop,3,3,1.0,639,193,0.4997,0.0015456030825826187,0.415522037342789,0.06241727421319666,144.5,0.22613458528951486,0.36610808345306084,0.8036685164816285,60.666666666666664,"[0.4967, 0.4997, 0.5002]","[248, 198, 193]","[42.0, 29.0, 73.5]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.0","{""lookback"": 60, ""min_break_atr"": 0.0}",10112,15,1.5,0.5,first_touch,drop,3,3,1.0,2487,648,0.4952,0.002290560339014596,0.30019195339787147,0.017183634216528826,144.5,0.058102131081624445,0.2795723619727472,0.8279229369834686,60.0,"[0.4983, 0.4952, 0.4927]","[994, 845, 648]","[53.0, 47.5, 44.0]"
breakout_60,"breakout_60|lookback=30,min_break_atr=0.05","{""lookback"": 30, ""min_break_atr"": 0.05}",14906,15,2.0,0.5,first_touch,drop,3,3,1.0,3146,452,0.4986,0.00313793987620327,0.22336751687236242,0.009828486439034854,144.5,0.045931341385886844,0.2219532128571302,0.7137288637288638,58.5,"[0.4931, 0.5005, 0.4986]","[1349, 452, 1345]","[33.0, 39.0, 72.5]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.05","{""lookback"": 60, ""min_break_atr"": 0.05}",9507,10,2.5,0.5,first_touch,drop,3,3,1.0,1657,478,0.4996,0.00020548046676563395,0.21579007402596204,0.011562122240882199,140.5,0.0847917923958962,0.1954095741508599,0.6106063398362044,43.5,"[0.4994, 0.4996, 0.4999]","[620, 478, 559]","[53.0, 55.0, 32.5]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.05","{""lookback"": 60, ""min_break_atr"": 0.05}",9507,15,2.5,0.5,first_touch,drop,3,3,1.0,1868,389,0.498,0.001283225103661341,0.2057134299177353,0.001148783015076408,140.0,0.07494646680942184,0.19278239381837473,0.6596044435651637,73.33333333333333,"[0.4969, 0.5, 0.498]","[886, 389, 593]","[55.0, 33.5, 51.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=0.8","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 0.8}",4520,10,1.5,1.0,first_touch,drop,3,3,1.0,746,190,0.4999,0.0017152907107024962,0.497443409964847,0.009463018118760116,139.0,0.1863270777479893,0.47639144385853505,0.6882678374272017,61.5,"[0.4977, 0.4999, 0.5019]","[289, 267, 190]","[56.0, 38.0, 45.0]"
wick_reversal,"wick_reversal|range_hi=0.7,range_lo=0.3,wick_frac=0.35","{""range_hi"": 0.7, ""range_lo"": 0.3, ""wick_frac"": 0.35}",3456,15,1.5,1.0,first_touch,drop,3,3,1.0,548,105,0.4993,0.0026549743668986664,0.4956861692326604,0.027853543833301315,137.0,0.25,0.5030551184161954,0.6298034142492196,52.5,"[0.4945, 0.5007, 0.4993]","[228, 105, 215]","[39.5, 30.0, 67.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.35,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.35, ""spread_mult"": 1.0}",3042,15,1.5,0.5,first_touch,drop,3,3,1.0,586,164,0.4978,0.0030575952787916224,0.5109191643468182,0.06023064522226418,135.0,0.23037542662116042,0.368004714765573,0.8537971175166296,55.333333333333336,"[0.5005, 0.4978, 0.4931]","[164, 186, 236]","[48.0, 41.0, 46.0]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.1","{""lookback"": 60, ""min_break_atr"": 0.1}",8744,15,1.5,0.5,first_touch,drop,3,3,1.0,2207,696,0.4983,0.001483988619303478,0.30103019441850937,0.011652897018746911,134.5,0.06094245582238333,0.28063329422930755,0.8588966859103383,44.333333333333336,"[0.4983, 0.4992, 0.4957]","[807, 704, 696]","[44.5, 40.0, 50.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",7165,15,2.0,0.5,first_touch,drop,3,3,1.0,1148,214,0.4972,0.0017172329163188263,0.24435591251490804,0.016629344641894753,133.5,0.11628919860627178,0.24239053169151345,0.5412615544969964,38.5,"[0.4991, 0.4972, 0.4949]","[300, 214, 634]","[25.0, 20.5, 88.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=0.8","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 0.8}",4526,15,2.0,1.0,first_touch,drop,3,3,1.0,896,268,0.4998,0.001939644870130149,0.44556275656976974,0.01432354260847767,133.0,0.1484375,0.3816965806972963,0.7802436597839177,73.0,"[0.4959, 0.4998, 0.5002]","[336, 292, 268]","[69.0, 29.0, 35.0]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.0","{""lookback"": 60, ""min_break_atr"": 0.0}",10240,15,2.0,0.5,first_touch,drop,3,3,1.0,2306,642,0.4949,0.005951097004381248,0.2435971149857985,0.018921850706779795,129.5,0.056157849089332176,0.22290484242352746,0.7359184533335896,67.66666666666667,"[0.4996, 0.4853, 0.4949]","[744, 642, 920]","[63.0, 31.5, 35.0]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.0","{""lookback"": 60, ""min_break_atr"": 0.0}",10303,10,2.5,0.5,first_touch,drop,3,3,1.0,2046,433,0.4847,0.013159280628767932,0.21441128116315125,0.010376619817275182,129.0,0.06304985337243402,0.18761819460007437,0.6605242127921022,61.666666666666664,"[0.4882, 0.4847, 0.4587]","[799, 433, 814]","[62.5, 26.5, 40.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",7067,10,1.5,0.5,first_touch,drop,3,3,1.0,1839,517,0.4989,8.164965809276361e-05,0.30834193317440656,0.025971229431199998,128.5,0.06987493202827624,0.28518329142164073,0.8655124343102352,51.166666666666664,"[0.4988, 0.4989, 0.499]","[662, 660, 517]","[33.0, 56.0, 39.5]"
wick_reversal,"wick_reversal|range_hi=0.7,range_lo=0.3,wick_frac=0.35","{""range_hi"": 0.7, ""range_lo"": 0.3, ""wick_frac"": 0.35}",3446,10,1.5,0.5,first_touch,drop,3,3,1.0,585,138,0.4989,0.0015860503004493645,0.4003962038944116,0.07058861750082876,127.5,0.21794871794871795,0.3730678907145683,0.7667948770442857,53.5,"[0.4963, 0.4989, 0.5001]","[241, 206, 138]","[37.5, 29.0, 61.0]"
