scanner_name,scanner_variant,scanner_params,events,h,tp,sl,label_mode,same_bar_policy,folds_used,profitable_folds,profitable_fold_ratio,total_test_trades,min_fold_test_trades,median_threshold,threshold_std,test_ap_mean,test_ap_std,total_test_net_profit_r,avg_r_per_trade,mean_test_win_rate,mean_test_recall,mean_valid_profit_r,fold_thresholds,fold_test_trades,fold_test_profit_r
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.05,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.05, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",20200,15,2.0,0.5,first_touch,drop,3,3,1.0,2889,680,0.5118,0.0351333017077656,0.3938501543128598,0.1148997244604976,810.5,0.2805469020422291,0.3222439033640535,0.7174780690960508,344.5,"[0.4567, 0.5118, 0.5415]","[1175, 1034, 680]","[340.0, 128.0, 342.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.05,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.05, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",20138,15,1.5,0.5,first_touch,drop,3,3,1.0,3312,902,0.4998,0.007681290400852,0.4360195737471748,0.0706293419647204,754.0,0.2276570048309179,0.3692457320913513,0.7513004778598283,311.0,"[0.4863, 0.4998, 0.5044]","[1340, 1070, 902]","[256.0, 159.0, 339.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.05,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.05, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",20180,15,1.5,1.0,first_touch,drop,3,3,1.0,3599,975,0.5034,0.0167910690547088,0.5361606286262278,0.0071706022538148,728.5,0.2024173381494859,0.4849328374313015,0.7002360793841379,323.8333333333333,"[0.5034, 0.5283, 0.4875]","[1028, 975, 1596]","[204.5, 275.0, 249.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.05,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.05, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",20138,10,1.5,0.5,first_touch,drop,3,3,1.0,3492,950,0.5031,0.0115120227009273,0.4210033676562584,0.0639466983849989,700.0,0.2004581901489118,0.3544739757015231,0.791631468283117,307.3333333333333,"[0.4963, 0.5234, 0.5031]","[1448, 950, 1094]","[132.0, 119.0, 449.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",41072,5,2.5,0.5,first_touch,drop,3,3,1.0,4989,664,0.4998,0.0006128258770283,0.1970496342048209,0.0220762967471183,505.5,0.1013229104028863,0.2141800214076404,0.4847412524840437,151.66666666666666,"[0.4998, 0.5011, 0.4998]","[2002, 664, 2323]","[82.0, 190.0, 233.5]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40817,5,2.0,0.5,first_touch,drop,3,3,1.0,8430,2316,0.4956,0.0033638602164114,0.2475663625846476,0.0372636688838647,490.0,0.0581257413997627,0.2238263728429224,0.73278610096633,204.5,"[0.4908, 0.499, 0.4956]","[2535, 2316, 3579]","[72.5, 219.5, 198.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40314,5,1.5,0.5,first_touch,drop,3,3,1.0,9534,2203,0.4979,0.0026537185649993,0.3069598851505846,0.0264829593472462,467.0,0.0489825886301657,0.2767949745161206,0.8162505414257614,273.0,"[0.4979, 0.4946, 0.5011]","[3622, 3709, 2203]","[75.0, 205.5, 186.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.05,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.05, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",20215,15,1.5,1.5,first_touch,drop,3,3,1.0,2495,475,0.5012,0.0187291810344772,0.5685124725266416,0.0289928226882098,373.5,0.1496993987975952,0.5518052935616831,0.4595807081625858,362.5,"[0.4994, 0.5012, 0.54]","[998, 1022, 475]","[189.0, 99.0, 85.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.05,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.05, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",20138,5,1.5,0.5,first_touch,drop,3,3,1.0,2235,523,0.5012,0.0126655262644532,0.3243789863141227,0.0478556115615337,240.5,0.1076062639821029,0.3072914800527326,0.5616248832240095,199.66666666666663,"[0.4983, 0.5012, 0.5265]","[1116, 523, 596]","[82.0, 18.5, 140.0]"
breakout_60,"breakout_60|lookback=90,min_break_atr=0.05","{""lookback"": 90, ""min_break_atr"": 0.05}",40329,3,1.5,0.5,first_touch,drop,3,3,1.0,6234,1857,0.4998,0.0058878405775519,0.2960708639978036,0.0231767614738242,207.0,0.0332050048123195,0.2681833630901446,0.562593201180928,142.66666666666666,"[0.4958, 0.4998, 0.5098]","[2444, 1933, 1857]","[4.0, 87.5, 115.5]"
