scanner_name,scanner_variant,scanner_params,events,h,tp,sl,label_mode,same_bar_policy,win_rate,ap,mean_realized_r,p05_realized_r,worst_realized_r
trend_exhaustion_confirmed,"trend_exhaustion_confirmed|accel_abs=0.02,confirm_ret=0.001,confirm_rsi_slope=1.0,range_hi=0.72,range_lo=0.28,trend_slow=0.03,trend_strength=0.0005,wick_frac=0.2","{""accel_abs"": 0.02, ""confirm_ret"": 0.001, ""confirm_rsi_slope"": 1.0, ""range_hi"": 0.72, ""range_lo"": 0.28, ""trend_slow"": 0.03, ""trend_strength"": 0.0005, ""wick_frac"": 0.2}",2643,15,2.5,1.5,first_touch,drop,0.38933030646992056,0.0,0.40673744938779055,-1.5,-1.5
derivative_reversal,"derivative_reversal|obi_hi=0.1,obi_lo=-0.1,range_hi=0.65,range_lo=0.35,rsi_hi=55.0,rsi_lo=42.0,vel3_abs=0.02","{""obi_hi"": 0.1, ""obi_lo"": -0.1, ""range_hi"": 0.65, ""range_lo"": 0.35, ""rsi_hi"": 55.0, ""rsi_lo"": 42.0, ""vel3_abs"": 0.02}",1816,10,3.0,1.5,first_touch,drop,0.13986784140969163,0.0,0.20427279114899222,-1.5,-1.5
derivative_reversal,"derivative_reversal|obi_hi=0.1,obi_lo=-0.1,range_hi=0.65,range_lo=0.3,rsi_hi=55.0,rsi_lo=45.0,vel3_abs=0.02","{""obi_hi"": 0.1, ""obi_lo"": -0.1, ""range_hi"": 0.65, ""range_lo"": 0.3, ""rsi_hi"": 55.0, ""rsi_lo"": 45.0, ""vel3_abs"": 0.02}",2297,10,2.5,1.5,first_touch,drop,0.22159338267305181,0.0,0.15139680504203856,-1.5,-1.5
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.05,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.05, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",20233,15,3.0,1.5,first_touch,drop,0.229575446053477,0.0,0.14022218655742563,-1.5,-1.5
derivative_reversal,"derivative_reversal|obi_hi=0.1,obi_lo=0.0,range_hi=0.65,range_lo=0.35,rsi_hi=55.0,rsi_lo=45.0,vel3_abs=0.02","{""obi_hi"": 0.1, ""obi_lo"": 0.0, ""range_hi"": 0.65, ""range_lo"": 0.35, ""rsi_hi"": 55.0, ""rsi_lo"": 45.0, ""vel3_abs"": 0.02}",2248,5,2.5,1.0,first_touch,drop,0.09875444839857651,0.0,0.13664766792778368,-1.0,-1.0
flow_reversal,"flow_reversal|flow_abs=0.03,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.03, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",25085,15,3.0,1.5,first_touch,drop,0.2301773968507076,0.0,0.13597276592479476,-1.5,-1.5
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.75,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.75, ""range_lo"": 0.3, ""spread_mult"": 1.0}",23574,15,3.0,1.5,first_touch,drop,0.23462288962416222,0.0,0.13517733443123123,-1.5,-1.5
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.25,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.25, ""spread_mult"": 1.0}",19421,15,3.0,1.5,first_touch,drop,0.23433396838473816,0.0,0.13332498398383974,-1.5,-1.5
derivative_reversal,"derivative_reversal|obi_hi=0.1,obi_lo=-0.2,range_hi=0.65,range_lo=0.35,rsi_hi=55.0,rsi_lo=45.0,vel3_abs=0.02","{""obi_hi"": 0.1, ""obi_lo"": -0.2, ""range_hi"": 0.65, ""range_lo"": 0.35, ""rsi_hi"": 55.0, ""rsi_lo"": 45.0, ""vel3_abs"": 0.02}",2570,10,2.5,1.5,first_touch,drop,0.22140077821011672,0.0,0.1313120356291706,-1.5,-1.5
trend_exhaustion_confirmed,"trend_exhaustion_confirmed|accel_abs=0.02,confirm_ret=0.0005,confirm_rsi_slope=1.0,range_hi=0.72,range_lo=0.28,trend_slow=0.03,trend_strength=0.0005,wick_frac=0.2","{""accel_abs"": 0.02, ""confirm_ret"": 0.0005, ""confirm_rsi_slope"": 1.0, ""range_hi"": 0.72, ""range_lo"": 0.28, ""trend_slow"": 0.03, ""trend_strength"": 0.0005, ""wick_frac"": 0.2}",7677,15,2.5,1.5,first_touch,drop,0.3072814901654292,0.0,0.13125006064373423,-1.5,-1.5
