colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,profitable_fold_ratio,total_test_trades,total_test_profit_r,avg_r_per_trade,mean_test_ap,mean_test_wr,mean_score_std,mean_n_trees,median_threshold,elapsed_s
0.7,0.5,0.003,4,50,2.0,0.5,1.0,1058,76.0,0.07183364839319471,0.24313238261943637,0.2284258904562584,0.008135820350920161,41.0,0.4975,0.8
0.5,1.0,0.01,2,50,2.0,0.65,1.0,848,73.5,0.0866745283018868,0.23618511363806757,0.23865340509117336,0.016368231348072488,32.666666666666664,0.4991,0.5
0.7,2.0,0.003,4,20,2.0,0.5,1.0,964,73.0,0.07572614107883817,0.23606281758448674,0.23208763469912527,0.007532895853122075,39.0,0.4989,0.8
0.5,2.0,0.02,4,50,5.0,0.65,1.0,1084,73.0,0.06734317343173432,0.2312197290022665,0.2255817477152746,0.015171468568344912,11.333333333333334,0.4912,0.6
0.7,0.5,0.005,4,50,1.0,0.65,1.0,928,71.0,0.07650862068965517,0.2302005019998992,0.22946365461379473,0.009305859760691723,25.0,0.4971,0.7
0.7,2.0,0.02,3,100,1.0,0.65,1.0,1008,71.0,0.07043650793650794,0.23725460748159466,0.2269965277777778,0.017797898966819048,1015.3333333333334,0.4966,0.5
0.5,0.5,0.02,5,20,1.0,0.65,1.0,840,70.0,0.08333333333333333,0.2412891675303004,0.23087764422680582,0.05431067757308483,72.66666666666667,0.4783,1.1
0.3,2.0,0.01,5,50,5.0,0.8,1.0,985,70.0,0.07106598984771574,0.2424824753249127,0.2270487613974718,0.00349872171257933,4.0,0.4984,0.7
0.7,2.0,0.02,4,20,5.0,0.5,1.0,857,69.0,0.08051341890315053,0.22855378826678785,0.22636441369177587,0.03517182792226473,31.0,0.4773,0.7
0.5,0.5,0.02,2,50,2.0,0.5,1.0,933,68.5,0.07341907824222937,0.23480895288117856,0.23065791037048577,0.03962005364398161,62.0,0.4832,0.6
0.3,1.0,0.02,4,100,1.0,0.65,1.0,936,67.0,0.07158119658119658,0.23415817360087318,0.22773811616770478,0.014983408308277527,517.0,0.4966,0.7
0.7,2.0,0.003,2,100,5.0,0.65,1.0,918,66.0,0.0718954248366013,0.22405440438519184,0.22820953749807504,0.004906339609685044,28.666666666666668,0.4995,0.5
0.5,1.0,0.01,2,20,2.0,0.65,1.0,740,65.0,0.08783783783783784,0.23624486560016744,0.23324412739313446,0.024972884294887383,61.666666666666664,0.4991,0.6
0.7,1.0,0.01,3,50,5.0,0.5,1.0,925,65.0,0.07027027027027027,0.2347711625525103,0.2266749789374812,0.03570165981849035,592.0,0.4941,0.9
0.7,2.0,0.003,4,50,2.0,0.8,1.0,814,63.0,0.0773955773955774,0.22499180748863,0.2364898494499541,0.002167295392913123,7.666666666666667,0.4996,0.6
0.5,1.0,0.02,2,50,2.0,0.8,1.0,849,63.0,0.07420494699646643,0.22726083865486676,0.2378110829502623,0.03422470483928919,39.333333333333336,0.4916,0.5
0.3,0.5,0.02,3,20,1.0,0.5,1.0,959,63.0,0.06569343065693431,0.22865154223702566,0.22820871173536042,0.0366173031895111,560.3333333333334,0.4745,0.7
0.7,2.0,0.005,4,100,2.0,0.65,1.0,994,63.0,0.06338028169014084,0.24010359758422073,0.2255676300708553,0.003945769276469946,510.0,0.4984,0.6
0.3,2.0,0.01,3,20,5.0,0.5,1.0,755,62.5,0.08278145695364239,0.23067570733412535,0.23824122076002993,0.013652753472949067,533.3333333333334,0.5,0.6
0.5,0.5,0.005,4,50,5.0,0.65,1.0,790,62.5,0.07911392405063292,0.24388795606239203,0.22991582832911972,0.020586620084941387,85.33333333333333,0.4985,1.0
0.3,2.0,0.003,2,20,5.0,0.65,1.0,905,62.5,0.06906077348066299,0.24333036997454646,0.22426731373001552,0.002056616668899854,16.666666666666668,0.4996,0.5
0.3,0.5,0.005,3,50,2.0,0.8,1.0,741,62.0,0.08367071524966262,0.24101389095020354,0.231480825236463,0.0061215687698374195,24.666666666666668,0.5002,0.6
0.7,2.0,0.003,4,100,2.0,0.65,1.0,931,62.0,0.06659505907626208,0.23864903346530789,0.2298862772787079,0.0024075860565062612,509.6666666666667,0.4995,0.7
0.5,2.0,0.003,5,20,5.0,0.5,1.0,922,61.5,0.06670281995661605,0.2418626287437199,0.23012041126043928,0.004147758590988815,23.333333333333332,0.4976,0.8
0.3,2.0,0.02,4,20,1.0,0.5,1.0,948,61.0,0.06434599156118144,0.23845730829204181,0.22473106739929535,0.050375696271657944,83.66666666666667,0.4499,1.0
0.5,2.0,0.005,4,100,1.0,0.5,1.0,1033,61.0,0.0590513068731849,0.23534622564219085,0.2238157957072425,0.012222273993150642,555.0,0.4891,0.8
0.7,1.0,0.005,3,20,5.0,0.5,1.0,994,60.5,0.06086519114688129,0.23072236837314977,0.22488761619949052,0.02097464104493459,87.0,0.4926,0.8
0.3,2.0,0.02,3,20,2.0,0.8,1.0,780,60.0,0.07692307692307693,0.2377365536782564,0.22854293550518937,0.0127831952025493,12.333333333333334,0.4983,0.5
0.7,2.0,0.005,4,50,5.0,0.65,1.0,865,60.0,0.06936416184971098,0.2303765335574283,0.23440509428794845,0.016685927441964548,54.666666666666664,0.4972,0.9
0.5,2.0,0.005,2,20,1.0,0.5,1.0,890,60.0,0.06741573033707865,0.24075997846809757,0.2251464500473147,0.013218914158642292,54.666666666666664,0.4854,0.6
0.7,1.0,0.02,3,100,2.0,0.8,1.0,920,60.0,0.06521739130434782,0.22806033930883726,0.22896837787723542,0.03281106613576412,29.0,0.487,0.6
0.7,0.5,0.005,2,100,5.0,0.65,1.0,966,59.5,0.06159420289855073,0.2242500995380304,0.22470564056512224,0.004706454696133733,15.333333333333334,0.4991,0.4
0.7,1.0,0.003,5,100,2.0,0.5,1.0,952,59.0,0.06197478991596639,0.217770592494718,0.22217727924249664,0.0019940128355907896,9.333333333333334,0.4993,0.7
0.5,2.0,0.01,5,20,1.0,0.5,1.0,873,58.5,0.06701030927835051,0.24079713560967506,0.2239223449633898,0.036712364914516606,94.33333333333333,0.4938,1.2
0.3,1.0,0.02,2,100,1.0,0.8,1.0,913,58.5,0.06407447973713033,0.2422444510671786,0.2285830189282072,0.025118911638855934,40.0,0.4876,0.5
0.3,0.5,0.005,4,100,2.0,0.65,1.0,939,58.0,0.0617678381256656,0.2290994151683076,0.22394678973740034,0.002489282148114095,509.3333333333333,0.499,0.6
0.7,1.0,0.01,2,100,2.0,0.65,1.0,969,58.0,0.05985552115583075,0.23110115552369734,0.22413740907635574,0.005368486822893222,7.333333333333333,0.4982,0.4
0.3,0.5,0.01,2,50,2.0,0.65,1.0,974,58.0,0.059548254620123205,0.24351631098988427,0.22072640308391958,0.004983452575591703,11.0,0.4988,0.4
0.5,1.0,0.02,4,50,2.0,0.5,1.0,974,58.0,0.059548254620123205,0.25711334760400933,0.2234106464145635,0.041894233164687954,61.0,0.4892,0.9
0.7,1.0,0.01,3,50,1.0,0.5,1.0,1044,58.0,0.05555555555555555,0.22295293562912508,0.22407219342703213,0.028740588439783703,565.3333333333334,0.4829,0.7
0.5,0.5,0.003,4,50,5.0,0.65,1.0,1097,56.5,0.05150410209662717,0.22519027921405624,0.2199067835421877,0.002008606883464381,10.0,0.4991,0.6
0.3,0.5,0.003,2,20,5.0,0.8,1.0,663,56.0,0.08446455505279035,0.2420460337936912,0.23402348891363775,0.0030897497975577912,25.0,0.5005,0.5
0.5,1.0,0.02,4,20,2.0,0.8,1.0,888,56.0,0.06306306306306306,0.2396341673193635,0.22165716642133068,0.01439152875294288,10.0,0.4873,0.6
0.7,0.5,0.01,3,50,2.0,0.5,1.0,1038,56.0,0.05394990366088632,0.2201503040509257,0.22382842785141635,0.02692220255266875,557.6666666666666,0.482,0.7
0.3,2.0,0.005,3,20,1.0,0.5,1.0,719,55.5,0.07719054242002782,0.2338213207075556,0.23341963322545847,0.008167815996178737,538.6666666666666,0.4997,0.6
0.3,0.5,0.02,3,50,5.0,0.5,1.0,795,55.0,0.06918238993710692,0.23793257578463445,0.22590484692928614,0.040382868920763336,99.33333333333333,0.4983,0.9
0.3,2.0,0.01,4,100,5.0,0.65,1.0,900,55.0,0.06111111111111111,0.23242778528955155,0.22459764851110808,0.0081546101719141,518.3333333333334,0.4987,0.7
0.3,2.0,0.003,4,100,1.0,0.65,1.0,945,55.0,0.0582010582010582,0.2269504371365936,0.2230703224776501,0.0017035151152716328,510.6666666666667,0.4989,0.6
0.7,1.0,0.02,3,20,1.0,0.5,1.0,876,54.5,0.062214611872146115,0.22059561539238484,0.23033335556430634,0.036790840638180576,39.0,0.4911,0.7
0.5,2.0,0.003,2,100,2.0,0.5,1.0,1111,54.5,0.049054905490549056,0.227577784557182,0.2195487021938635,0.0020050083209450045,513.6666666666666,0.4971,0.5
0.5,1.0,0.02,5,50,2.0,0.8,1.0,819,53.0,0.06471306471306472,0.23101608626013803,0.22456340850675782,0.01779900398105383,15.0,0.4924,1.0
0.7,2.0,0.01,2,20,1.0,0.5,1.0,899,53.0,0.058954393770856504,0.2215042682305348,0.22221301666206392,0.005167239888881643,7.666666666666667,0.4971,0.4
0.3,1.0,0.02,3,100,5.0,0.8,1.0,919,53.0,0.05767138193688792,0.23625117543948201,0.2242911730099372,0.007006833640237649,4.666666666666667,0.4986,0.5
0.7,1.0,0.005,2,20,5.0,0.65,1.0,890,52.5,0.05898876404494382,0.2235942205339724,0.22297529967984517,0.005318465642631054,17.0,0.5001,0.5
0.7,1.0,0.01,4,100,5.0,0.5,1.0,718,51.0,0.07103064066852367,0.23566055466499128,0.22715056297460068,0.014194539282470942,23.666666666666668,0.5013,0.7
0.3,0.5,0.01,5,100,5.0,0.65,1.0,1002,49.0,0.04890219560878244,0.21799329709701096,0.21717206563012134,0.002369136083871126,2.6666666666666665,0.4971,0.7
0.7,1.0,0.02,5,100,5.0,0.8,1.0,853,48.5,0.056858147713950764,0.2295498873765723,0.22527724607298028,0.025079244902978342,22.666666666666668,0.4922,0.8
0.3,0.5,0.01,2,100,5.0,0.5,1.0,915,47.5,0.05191256830601093,0.23589266314990845,0.22514214596204443,0.010722019243985415,36.333333333333336,0.4991,0.5
0.5,0.5,0.005,2,20,2.0,0.5,1.0,758,46.0,0.06068601583113457,0.24235344605559708,0.23072452352821834,0.023362708588441212,113.66666666666667,0.5019,0.8
0.7,0.5,0.005,4,50,5.0,0.8,1.0,828,46.0,0.05555555555555555,0.21523767221927717,0.2255901531618056,0.0030975285917520523,6.333333333333333,0.4995,0.6
0.3,0.5,0.003,5,50,2.0,0.5,1.0,994,45.5,0.045774647887323945,0.23806959846766854,0.21778660062290475,0.0009971515197927754,504.3333333333333,0.4992,0.7
0.5,2.0,0.005,5,100,5.0,0.65,1.0,727,44.0,0.06052269601100413,0.23073388287340532,0.2235627309472383,0.0037624466931447387,13.333333333333334,0.4998,0.7
0.7,2.0,0.02,2,100,1.0,0.5,1.0,708,43.5,0.0614406779661017,0.24175535638612278,0.22543060411619242,0.03739406851430734,48.333333333333336,0.5072,0.5
